date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:28:33	47805/47805	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Oct%202021%2007:06:56%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/index-02.html	(from )
23:28:33	280/280	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Apr%202024%2022:28:33%20GMT	https://themes.potenzaglobalsolutions.com/robots.txt		(from )
23:28:33	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2026%20Oct%202021%2007:07:27%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/images/favicon.ico	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/images/favicon.ico	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:33	55112/55112	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:13%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/font-awesome/all.min.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/font-awesome/all.min.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:34	5569/5569	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:12%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/flaticon/flaticon.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/flaticon/flaticon.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:34	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:11%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/bootstrap/bootstrap.min.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/bootstrap/bootstrap.min.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:34	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:14%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/owl-carousel/owl.carousel.min.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/owl-carousel/owl.carousel.min.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:34	19778/19778	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:18%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/swiper/swiper.min.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/swiper/swiper.min.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:35	58129/58129	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:10%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/animate/animate.min.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/animate/animate.min.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
23:28:35	6214/6214	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20Oct%202021%2007:07:13%20GMT	https://themes.potenzaglobalsolutions.com/html/finaxo/css/magnific-popup/magnific-popup.css	C:/Mes%20Sites%20Web/pidev/themes.potenzaglobalsolutions.com/html/finaxo/css/magnific-popup/magnific-popup.css	(from https://themes.potenzaglobalsolutions.com/html/finaxo/index-02.html)
